year,driver_num,driver_id,circuit,lap,position,net_gain
2019,77,bottas,bahrain,35.0,3.0,137.2355555555601
2019,77,bottas,bahrain,36.0,2.0,242.10166666666896
2019,77,bottas,bahrain,37.0,4.0,-140.5300000000015
2019,77,bottas,bahrain,38.0,3.0,418.47055555555306
2019,77,bottas,bahrain,39.0,3.0,46.603888888884285
2019,77,bottas,bahrain,40.0,3.0,51.50138888888978
2019,77,bottas,bahrain,41.0,3.0,61.66277777777327
2019,77,bottas,bahrain,42.0,3.0,-2.923611111114724
2019,77,bottas,bahrain,43.0,3.0,221.10777777777184
2019,77,bottas,bahrain,44.0,3.0,84.72583333333614
2019,77,bottas,bahrain,45.0,3.0,67.97638888889242
2019,77,bottas,bahrain,46.0,3.0,-10.849444444436813
2019,77,bottas,bahrain,47.0,3.0,-6.064999999993461
2019,77,bottas,bahrain,48.0,3.0,-208.86777777778434
2019,77,bottas,bahrain,49.0,3.0,-260.7741666666536
2019,77,bottas,bahrain,50.0,3.0,-349.9561111111202
2019,77,bottas,bahrain,51.0,3.0,-121.1972222222214
2019,77,bottas,bahrain,52.0,3.0,-243.98805555555907
2019,77,bottas,bahrain,53.0,3.0,-335.68055555555355
2019,77,bottas,bahrain,54.0,2.0,1271.600000000003
2019,77,bottas,bahrain,55.0,2.0,38.739722222225964
2019,77,bottas,bahrain,56.0,2.0,-549.946111111105
2019,77,bottas,bahrain,57.0,2.0,-517.8341666666668
2019,16,leclerc,bahrain,1.0,3.0,57.554166666663086
2019,16,leclerc,bahrain,2.0,2.0,136.57638888888434
2019,16,leclerc,bahrain,3.0,2.0,-24.856666666672226
2019,16,leclerc,bahrain,4.0,2.0,-10.82111111111459
2019,16,leclerc,bahrain,5.0,2.0,1.1461111111010496
2019,16,leclerc,bahrain,6.0,1.0,-40.84749999999991
2019,16,leclerc,bahrain,7.0,1.0,
2019,16,leclerc,bahrain,8.0,1.0,
2019,16,leclerc,bahrain,9.0,1.0,
2019,16,leclerc,bahrain,10.0,1.0,
2019,16,leclerc,bahrain,11.0,1.0,
2019,16,leclerc,bahrain,12.0,1.0,
2019,16,leclerc,bahrain,13.0,1.0,
2019,16,leclerc,bahrain,14.0,3.0,56.1369444444401
2019,16,leclerc,bahrain,15.0,1.0,-94.84472222222271
2019,16,leclerc,bahrain,16.0,1.0,
2019,16,leclerc,bahrain,17.0,1.0,
2019,16,leclerc,bahrain,18.0,1.0,
2019,16,leclerc,bahrain,19.0,1.0,
2019,16,leclerc,bahrain,20.0,1.0,
2019,16,leclerc,bahrain,21.0,1.0,
2019,16,leclerc,bahrain,22.0,1.0,
2019,16,leclerc,bahrain,23.0,1.0,
2019,16,leclerc,bahrain,24.0,1.0,
2019,16,leclerc,bahrain,25.0,1.0,
2019,16,leclerc,bahrain,26.0,1.0,
2019,16,leclerc,bahrain,27.0,1.0,
2019,16,leclerc,bahrain,28.0,1.0,
2019,16,leclerc,bahrain,29.0,1.0,
2019,16,leclerc,bahrain,30.0,1.0,
2019,16,leclerc,bahrain,31.0,1.0,
2019,16,leclerc,bahrain,32.0,1.0,
2019,16,leclerc,bahrain,33.0,1.0,
2019,16,leclerc,bahrain,34.0,1.0,
2019,16,leclerc,bahrain,35.0,1.0,
2019,16,leclerc,bahrain,36.0,1.0,
2019,16,leclerc,bahrain,37.0,1.0,928.7702777777727
2019,16,leclerc,bahrain,38.0,1.0,
2019,16,leclerc,bahrain,39.0,1.0,
2019,16,leclerc,bahrain,40.0,1.0,
2019,16,leclerc,bahrain,41.0,1.0,
2019,16,leclerc,bahrain,42.0,1.0,
2019,16,leclerc,bahrain,43.0,1.0,
2019,16,leclerc,bahrain,44.0,1.0,
2019,16,leclerc,bahrain,45.0,1.0,
2019,16,leclerc,bahrain,46.0,1.0,
2019,16,leclerc,bahrain,47.0,1.0,226.29333333333767
2019,16,leclerc,bahrain,48.0,2.0,48.52555555555318
2019,16,leclerc,bahrain,49.0,2.0,172.97805555555823
2019,16,leclerc,bahrain,50.0,2.0,337.2638888888974
2019,16,leclerc,bahrain,51.0,2.0,151.68388888888387
