year,driver_num,driver_id,circuit,lap,position,gap_ahead,net_gain
2018,7,raikkonen,monza,33.0,2.0,51.09611111111644,1.316666666671999
2018,7,raikkonen,monza,34.0,2.0,52.44722222222299,-4.1986111111103455
2018,7,raikkonen,monza,35.0,2.0,67.49611111111153,12.220000000000404
2018,7,raikkonen,monza,36.0,1.0,7.746944444442306,-60.620833333335455
2018,7,raikkonen,monza,37.0,1.0,,
2018,7,raikkonen,monza,38.0,1.0,,
2018,7,raikkonen,monza,39.0,1.0,,
2018,7,raikkonen,monza,40.0,1.0,,
2018,7,raikkonen,monza,41.0,1.0,,
2018,7,raikkonen,monza,42.0,1.0,,
2018,7,raikkonen,monza,43.0,1.0,,
2018,7,raikkonen,monza,44.0,1.0,,
2018,7,raikkonen,monza,45.0,2.0,148.47222222222445,148.23916666666935
2018,7,raikkonen,monza,46.0,2.0,279.7077777777713,120.74888888888239
2018,7,raikkonen,monza,47.0,2.0,364.96333333333405,70.79694444444522
2018,7,raikkonen,monza,48.0,2.0,463.56083333332845,82.75805555555075
2018,7,raikkonen,monza,49.0,2.0,570.7786111111109,88.58361111111094
2018,7,raikkonen,monza,50.0,2.0,629.9227777777769,40.58361111111026
2018,7,raikkonen,monza,51.0,2.0,677.9588888888911,36.66000000000224
2018,7,raikkonen,monza,52.0,2.0,698.3813888888899,10.498055555556562
2018,7,raikkonen,monza,53.0,2.0,203.67055555555726,-507.8838888888872
2018,77,bottas,monza,1.0,5.0,59.565277777782285,59.50944444444895
2018,77,bottas,monza,2.0,4.0,141.24166666667134,87.81666666667132
2018,77,bottas,monza,3.0,4.0,60.47861111110524,-78.02833333333919
2018,77,bottas,monza,4.0,4.0,87.73277777778276,27.455833333338305
2018,77,bottas,monza,5.0,4.0,102.72722222222274,22.50694444444497
2018,77,bottas,monza,6.0,4.0,112.40861111111008,20.152222222221184
2018,77,bottas,monza,7.0,4.0,94.15777777777112,-3.2000000000066535
2018,77,bottas,monza,8.0,4.0,100.19777777778108,14.758055555558855
2018,77,bottas,monza,9.0,4.0,107.94722222222572,14.332777777781246
2018,77,bottas,monza,10.0,4.0,122.47611111112201,27.444444444455343
2018,77,bottas,monza,11.0,4.0,114.96027777777908,7.702500000001322
2018,77,bottas,monza,12.0,4.0,104.46250000000691,5.49000000000693
2018,77,bottas,monza,13.0,4.0,98.8741666666665,10.978055555555414
2018,77,bottas,monza,14.0,4.0,98.4025000000047,9.168333333338012
2018,77,bottas,monza,15.0,4.0,108.21166666666886,28.922500000002174
2018,77,bottas,monza,16.0,4.0,109.64000000000033,12.1005555555559
2018,77,bottas,monza,17.0,4.0,114.49333333333652,12.923888888892066
2018,77,bottas,monza,18.0,4.0,82.36555555555333,-20.063888888891128
2018,77,bottas,monza,19.0,4.0,76.07250000000295,8.803055555558501
2018,77,bottas,monza,20.0,4.0,65.74611111111335,-14.009444444442195
2018,77,bottas,monza,21.0,3.0,79.17083333332994,23.53305555555214
2018,77,bottas,monza,22.0,3.0,79.69083333333401,13.25916666666734
2018,77,bottas,monza,23.0,3.0,109.7536111111076,46.506666666663165
2018,77,bottas,monza,24.0,3.0,109.67222222221972,19.286111111108582
2018,77,bottas,monza,25.0,3.0,151.25166666666337,55.76527777777447
2018,77,bottas,monza,26.0,2.0,1019.1783333333296,882.6349999999964
2018,77,bottas,monza,27.0,2.0,1009.6555555555633,30.645277777785395
2018,77,bottas,monza,28.0,2.0,174.8316666666633,-793.4438888888919
2018,77,bottas,monza,29.0,1.0,0.6186111111112496,-124.11083333333326
2018,77,bottas,monza,30.0,1.0,,
2018,77,bottas,monza,31.0,1.0,,
2018,77,bottas,monza,32.0,1.0,,
2018,77,bottas,monza,33.0,1.0,,
2018,77,bottas,monza,34.0,1.0,,
2018,77,bottas,monza,35.0,1.0,,
2018,77,bottas,monza,36.0,3.0,230.8230555555565,228.0174999999981
2018,77,bottas,monza,37.0,4.0,257.31722222222834,247.89361111111722
2018,77,bottas,monza,38.0,4.0,213.22527777778032,-78.13777777777523
2018,77,bottas,monza,39.0,4.0,154.73166666666748,-71.37999999999917
2018,77,bottas,monza,40.0,4.0,102.16083333333518,-57.77138888888703
2018,77,bottas,monza,41.0,4.0,53.550833333332776,-51.89888888888942
2018,77,bottas,monza,42.0,4.0,53.52777777778101,-0.481388888885661
2018,77,bottas,monza,43.0,4.0,428.28138888889225,379.1675000000034
2018,77,bottas,monza,44.0,4.0,351.64111111110924,-46.59194444444637
2018,77,bottas,monza,45.0,4.0,208.2305555555531,-147.22194444444688
2018,77,bottas,monza,46.0,4.0,96.66444444443914,-109.2686111111164
2018,77,bottas,monza,47.0,4.0,55.28444444444176,-37.76833333333602
2018,77,bottas,monza,48.0,4.0,54.616666666670426,0.9794444444481911
2018,77,bottas,monza,49.0,4.0,71.23999999999796,24.561388888886825
2018,77,bottas,monza,50.0,4.0,69.4638888888885,3.4394444444440637
2018,77,bottas,monza,51.0,4.0,66.76416666666864,4.142500000001974
2018,77,bottas,monza,52.0,4.0,47.35166666667283,-12.43333333332717
2018,77,bottas,monza,53.0,4.0,82.38416666666853,40.737777777779634
2018,5,vettel,monza,1.0,19.0,121.54833333333318,121.54833333333318
2018,5,vettel,monza,2.0,18.0,29.34444444444307,-8.228611111112485
2018,5,vettel,monza,3.0,18.0,166.64694444444012,121.3574999999957
2018,5,vettel,monza,4.0,17.0,41.617777777784795,-141.2788888888819
2018,5,vettel,monza,5.0,16.0,42.57416666667359,-13.639722222215298
2018,5,vettel,monza,6.0,15.0,102.81805555555275,55.74555555555274
2018,5,vettel,monza,7.0,15.0,49.78972222221819,-58.922500000004035
2018,5,vettel,monza,8.0,15.0,7.884444444445762,-57.74749999999868
2018,5,vettel,monza,9.0,12.0,41.571388888893125,39.14694444444868
2018,5,vettel,monza,10.0,11.0,414.49194444444674,368.57555555555786
2018,5,vettel,monza,11.0,11.0,368.7861111111106,-67.98972222222267
2018,5,vettel,monza,12.0,11.0,230.80055555555282,-169.6313888888916
2018,5,vettel,monza,13.0,11.0,76.91250000000855,-184.683055555547
2018,5,vettel,monza,14.0,10.0,121.00527777777279,27.325277777772783
2018,5,vettel,monza,15.0,10.0,27.183333333331575,-108.39222222222395
2018,5,vettel,monza,16.0,9.0,37.98583333332408,2.0449999999907504
2018,5,vettel,monza,17.0,9.0,28.80250000000251,-12.660833333330814
2018,5,vettel,monza,18.0,8.0,136.90888888889276,91.38416666667052
2018,5,vettel,monza,19.0,8.0,53.01000000000113,-86.14944444444333
2018,5,vettel,monza,20.0,7.0,260.3458333333383,201.1080555555605
2018,5,vettel,monza,21.0,7.0,167.53916666666737,-109.99861111111045
2018,5,vettel,monza,22.0,7.0,80.20000000000346,-109.58888888888544
2018,5,vettel,monza,23.0,6.0,32.90083333333314,-52.700277777777956
2018,5,vettel,monza,24.0,5.0,902.8347222222228,859.5722222222228
2018,5,vettel,monza,25.0,5.0,928.8222222222275,64.70027777778296
2018,5,vettel,monza,26.0,5.0,195.39833333332808,-694.8058333333386
2018,5,vettel,monza,27.0,4.0,971.6772222222144,801.3599999999922
2018,5,vettel,monza,28.0,4.0,862.0938888888822,-82.5291666666734
2018,5,vettel,monza,29.0,5.0,66.87944444444565,-776.1299999999991
2018,5,vettel,monza,30.0,10.0,68.68972222222601,-48.594999999996205
2018,5,vettel,monza,31.0,9.0,34.68583333333663,-69.37444444444114
2018,5,vettel,monza,32.0,8.0,312.1438888888888,266.56472222222214
2018,5,vettel,monza,33.0,8.0,81.3491666666614,-243.62277777778309
2018,5,vettel,monza,34.0,7.0,548.3577777777818,462.46861111111514
2018,5,vettel,monza,35.0,7.0,414.5380555555539,-142.60416666666833
2018,5,vettel,monza,36.0,7.0,257.5961111111101,-164.05555555555662
